Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782810147,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782810148,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782810149,4,,Aggregated,0.000000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1,0,1834.4722000001639,1834.4722000001639,1834.4722000001639,1834.4722000001639,48.0
1782810150,8,,Aggregated,0.000000,0.000000,1800,1800,2500,2500,2500,2500,2500,2500,2500,2500,2500,4,0,8,1095.9261000000424,4.994800000076793,2535.983600000236,1750.25
1782810151,10,,Aggregated,0.000000,0.000000,1800,2100,2100,2100,2500,2500,2500,2500,2500,2500,2500,8,0,560,1146.6691250000736,4.994800000076793,2535.983600000236,932.375
1782810152,10,,Aggregated,1.333333,0.000000,640,1800,2100,2100,2100,2500,2500,2500,2500,2500,2500,11,0,640,1007.5855000000873,4.994800000076793,2535.983600000236,716.9090909090909
1782810153,10,,Aggregated,2.000000,0.000000,610,670,1800,1800,2100,2500,2500,2500,2500,2500,2500,16,0,600,805.8971312500773,4.994800000076793,2535.983600000236,1578.375
1782810154,10,,Aggregated,2.000000,0.000000,640,670,1100,1800,2100,2500,2500,2500,2500,2500,2500,18,0,610,789.153805555644,4.994800000076793,2535.983600000236,1419.3333333333333
1782810155,10,,Aggregated,2.166667,0.000000,610,640,670,1100,2100,2100,2500,2500,2500,2500,2500,22,0,600,726.613763636475,4.994800000076793,2535.983600000236,1488.5
1782810156,10,,Aggregated,2.166667,0.000000,600,640,670,1100,2100,2100,2500,2500,2500,2500,2500,25,0,600,687.8642080001191,4.994800000076793,2535.983600000236,1323.0
1782810157,10,,Aggregated,2.625000,0.000000,610,640,670,670,1800,2100,2500,2500,2500,2500,2500,31,0,610,670.1143193549357,4.994800000076793,2535.983600000236,1090.8387096774193
1782810158,10,,Aggregated,2.625000,0.000000,610,640,670,670,1800,2100,2500,2500,2500,2500,2500,32,0,610,669.6389593750922,4.994800000076793,2535.983600000236,1060.90625
1782810159,10,,Aggregated,2.777778,0.000000,610,640,650,670,1800,2100,2500,2500,2500,2500,2500,33,0,610,649.6563272728164,4.994800000076793,2535.983600000236,1233.969696969697
1782810160,10,,Aggregated,3.200000,0.000000,610,640,650,670,1800,2100,2500,2500,2500,2500,2500,35,0,610,647.041525714368,4.994800000076793,2535.983600000236,1171.057142857143
1782810161,10,,Aggregated,3.300000,0.000000,610,640,650,670,1800,2100,2500,2500,2500,2500,2500,37,0,610,630.0696594595335,4.994800000076793,2535.983600000236,1294.7567567567567
1782810162,10,,Aggregated,3.300000,0.000000,610,640,650,670,1800,2100,2500,2500,2500,2500,2500,38,0,600,628.682444736916,4.994800000076793,2535.983600000236,1264.5526315789473
1782810163,10,,Aggregated,2.800000,0.000000,610,640,650,670,1100,2100,2500,2500,2500,2500,2500,42,0,610,615.7574166667191,4.994800000076793,2535.983600000236,1398.7619047619048
1782810164,10,,Aggregated,2.800000,0.000000,610,640,650,670,1100,2100,2500,2500,2500,2500,2500,47,0,610,591.7382957447077,4.994800000076793,2535.983600000236,1404.4468085106382
1782810165,10,,Aggregated,2.800000,0.000000,610,640,650,670,1100,2100,2500,2500,2500,2500,2500,49,0,610,594.7796714285965,4.994800000076793,2535.983600000236,1353.1224489795918
1782810166,10,,Aggregated,2.900000,0.000000,620,640,650,670,1100,2100,2500,2500,2500,2500,2500,50,0,610,597.2130720000223,4.994800000076793,2535.983600000236,1329.0
1782810167,10,,Aggregated,2.700000,0.000000,620,640,650,670,1100,2100,2100,2500,2500,2500,2500,51,0,620,597.925372549044,4.994800000076793,2535.983600000236,1305.549019607843
1782810168,10,,Aggregated,2.700000,0.000000,620,640,670,670,1100,2100,2100,2500,2500,2500,2500,52,0,620,599.7906192307902,4.994800000076793,2535.983600000236,1283.0
1782810169,10,,Aggregated,2.400000,0.000000,620,640,670,670,1100,2100,2100,2500,2500,2500,2500,53,0,620,602.1431716981341,4.994800000076793,2535.983600000236,1261.301886792453
1782810170,10,,Aggregated,2.100000,0.000000,620,640,670,690,1100,2100,2100,2500,2500,2500,2500,54,0,620,614.4088796296543,4.994800000076793,2535.983600000236,1240.4074074074074
1782810171,10,,Aggregated,2.000000,0.000000,620,650,670,700,1100,2100,2100,2500,2500,2500,2500,55,0,620,616.7276472727528,4.994800000076793,2535.983600000236,1220.2727272727273
1782810172,10,,Aggregated,2.100000,0.000000,620,650,670,700,1100,2100,2100,2500,2500,2500,2500,57,0,620,622.2910385965263,4.994800000076793,2535.983600000236,1182.122807017544
