Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782808497,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782808498,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782808499,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782808500,20,,Aggregated,0.000000,0.000000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,5,5,2031.5166999999974,2034.119039999996,2031.5166999999974,2041.1354000000301,0.0
1782808501,25,,Aggregated,0.000000,0.000000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,10,10,2031.5166999999974,2036.3050999999928,2031.5166999999974,2042.9267999999183,0.0
1782808502,30,,Aggregated,0.000000,0.000000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,15,15,2031.5166999999974,2035.6769199999992,2031.5166999999974,2042.9267999999183,0.0
1782808503,35,,Aggregated,1.666667,1.666667,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,22,22,2027.2996999999577,2033.3825409090985,2027.2996999999577,2042.9267999999183,0.0
1782808504,40,,Aggregated,2.500000,2.500000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,29,29,2024.32239999996,2031.7055517241406,2024.32239999996,2042.9267999999183,0.0
1782808505,45,,Aggregated,3.666667,3.666667,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,39,39,2014.6540000000641,2029.3382538461603,2014.6540000000641,2042.9267999999183,0.0
1782808506,50,,Aggregated,3.666667,3.666667,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,39,39,2014.6540000000641,2029.3382538461603,2014.6540000000641,2042.9267999999183,0.0
1782808507,50,,Aggregated,3.666667,3.666667,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,39,39,2014.6540000000641,2029.3382538461603,2014.6540000000641,2042.9267999999183,0.0
1782808508,50,,Aggregated,3.666667,3.666667,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,39,39,2014.6540000000641,2029.3382538461603,2014.6540000000641,2042.9267999999183,0.0
1782808509,50,,Aggregated,3.666667,3.666667,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,39,39,2014.6540000000641,2029.3382538461603,2014.6540000000641,2042.9267999999183,0.0
1782808510,50,,Aggregated,3.900000,3.900000,2000,2000,3900,4200,5600,5900,6300,6600,6600,6600,6600,60,39,2000,2814.6098916666724,1442.8435999999465,6557.823799999937,2329.8
1782808511,50,,Aggregated,3.900000,3.900000,2000,2000,3700,4100,5600,5800,6300,6600,6600,6600,6600,62,39,2000,2724.2387225806506,6.8264999999883,6557.823799999937,2256.1935483870966
1782808512,50,,Aggregated,3.400000,3.400000,2000,3400,4400,5600,7000,8100,8400,8800,8800,8800,8800,70,39,2000,3209.0287842857174,6.8264999999883,8781.563000000006,2158.3285714285716
1782808513,50,,Aggregated,5.000000,2.900000,2000,3700,4400,5600,7000,8100,8400,8800,8800,8800,8800,77,39,2000,3199.2417571428587,6.8264999999883,8781.563000000006,2232.87012987013
1782808514,50,,Aggregated,5.000000,2.400000,2000,3400,4400,5600,6600,8000,8400,8800,8800,8800,8800,84,39,2000,3052.433424999998,5.034199999954581,8781.563000000006,2293.9761904761904
1782808515,50,,Aggregated,5.000000,1.700000,2000,2300,4400,5600,7000,8100,8800,9300,9300,9300,9300,89,39,2000,2986.2913707865164,5.034199999954581,9339.227200000096,2473.9662921348313
1782808516,50,,Aggregated,4.900000,1.000000,2000,2300,4400,5600,7000,8100,9300,10000,10000,10000,10000,92,39,2000,3001.602895652173,5.034199999954581,10352.317699999958,2506.8695652173915
1782808517,50,,Aggregated,5.000000,0.300000,2000,2300,4400,4700,7000,8100,9300,10000,10000,10000,10000,96,39,2000,2925.5134822916675,5.034199999954581,10352.317699999958,2581.8020833333335
